,N_star,D,R_hull,m_mean,m_m2,m_m3,m_m4,s_mean,s_m2,s_m3,s_m4
1112,682.0,1.4326261685386916,3.102306488046076,0.9340774754079666,1.6251754682082558,3.851417421046132,6.35372539491452,1.7612521017027514,0.9476238886011916,0.4319614588776876,1.179475817975119
1113,1648.0,2.6925933123727948,3.47653571017541,2.2957243427718272,1.110245203150673,0.9165673535138696,1.5422288174481573,1.7986707081923579,0.874519115566264,0.5298229633037699,1.083992122438393
1114,1936.0,2.6844981701548174,4.115812769073162,2.530187037690709,1.3833692965587157,1.377171573322589,2.0441510844446715,1.7904815673810246,0.8911653925443836,0.6463912678787143,1.136329984155176
1115,3026.0,2.911751559766194,3.5627376259209074,2.3205134068623336,1.1553830965477763,1.012850337186736,1.606576433832625,1.8009098761777962,0.869898625062299,0.5278146464534424,1.0822986929237155
1116,1327.0,2.1356003927583442,3.939572063206348,1.9642417141413993,1.2258121563859192,2.053795996041076,3.625909226212258,1.7698445037520976,0.9314775534270758,0.632129192489869,1.1720854637635452
1117,1068.0,2.022497627698617,3.741915080213121,2.0175805065486987,1.1621618331806367,1.3933417056761415,2.151589511641856,1.7849784139269744,0.9021374960696075,0.5190558798241139,1.1133944847442871
1118,2428.0,2.8134793782470995,4.0808817738078655,2.5479893446030575,1.3753223241522707,1.4341771145144706,2.1097185016539366,1.7960318731271767,0.879925855235131,0.6060486454041385,1.1118113648214663
1119,1176.0,1.7845990147301094,3.37837415662652,1.4226312212954086,0.8925988389413672,1.3458440254973412,2.177598755037995,1.7865812758281452,0.8989590340278463,0.47847217571805317,1.1232706707005815
1120,371.0,1.1112179327360856,3.0357497348336304,0.9085284525093261,1.5141399612984456,2.7794553317696606,3.955434610004659,1.767085305035333,0.9367014063874268,0.5375605244148918,1.1702100015753072
1121,960.0,1.1778838653974042,3.0318669148793638,0.6937219976161121,1.4609649607795354,3.4726011756950212,5.78764867743327,1.791624188799028,0.8888660000867535,-0.5032368924320555,1.0903622948609029
1122,1062.0,2.466412436331832,3.8957445144277902,2.376656564324624,1.332257590363539,1.3731287324954426,1.9928031416895233,1.789022340536721,0.8940911950469693,0.6333943266073815,1.132899463163052
1123,1022.0,1.6971191108626573,3.730858738524122,1.6154247106086927,1.1026362497623232,1.8781841814859173,3.031164658250508,1.7938210969716881,0.8844240340805339,0.5524634200339773,1.1147119143218909
1124,2155.0,1.9157478159112016,3.6778762846768993,1.7524380970397786,1.132553433218703,2.3559315169851303,4.3833168176391055,1.7818729550725798,0.9082558956488591,0.6245178407052834,1.1507397649447226
1125,884.0,1.6434946810171198,3.6038315788150035,1.5948914533940064,1.1282308614383891,2.1101657012115833,3.5539635593381993,1.7776572571567026,0.9164795011772542,0.4123959059920583,1.1103951656190494
1126,1865.0,2.677919506110616,3.9097476068196086,2.4603191550791172,1.3239746349832862,1.3966385106967092,2.0944124074639836,1.7989644531590872,0.8739146962204192,0.5516387402338453,1.0913464325570448
1127,3581.0,2.921822247127709,3.992258013448152,2.546514811501751,1.3791470061873512,1.6203399032712666,2.4982343456538234,1.80240022609921,0.8668064518434967,0.5588945421358006,1.0879507152235708
1128,3333.0,2.3496988336628286,3.8680376149494395,2.039143159914998,1.186502135695648,1.6885871044578944,3.07394557572141,1.771822200697058,0.9277101320547426,0.6244115579602869,1.1490130146840503
1129,1189.0,1.0254758461737579,2.9896673449894076,0.619995189506918,1.494444460839545,3.3743372715759965,5.413903782102271,1.7532038595119661,0.9624324532102762,0.48944489831751853,1.1717168128728352
1130,1058.0,1.0131016050777142,2.79973537232788,0.5560269442184466,1.6648096710612355,4.0255425878075854,6.719595709818563,1.7296572400331556,1.0041343694948839,0.5759225090404783,1.1911938076188147
1131,1055.0,1.6917607272169928,3.5185688888503184,1.5432788979974759,0.9558185194298562,1.2451998660299803,1.8136050402451298,1.7826263261067135,0.9067763679492761,0.5219225601467745,1.1364490187860614
1132,831.0,1.6533895578872937,3.220873826636487,1.3326072174426378,1.0643175578886528,2.1660441333922447,3.6198988424207266,1.7924393529566707,0.887221035578098,-0.32252956367448904,1.0820319621527164
1133,835.0,1.3828644088922242,3.1825525773524244,1.1738830754448013,1.297030546315607,2.529656632514767,3.831702207352102,1.7818972665965969,0.9082081982098467,0.17572215278346365,1.1013138315997086
1134,780.0,1.0998286585123034,2.8172553301781877,0.5539198999589412,1.5110716291444517,3.3079128090531262,5.25840451433424,1.7772854292837843,0.9172003613472666,-0.5838139904774288,1.1024347298951742
1135,1725.0,2.730405160256347,4.0132742581475345,2.464872258810753,1.3619259121656166,1.433811721227378,2.1282491643123502,1.7965197446376988,0.8789293527507798,0.5729870651001838,1.098026144500123
1136,795.0,1.912767744058841,3.8378717480264313,2.0038279467980598,1.1732542316969483,1.1817453046617699,1.6844642194977393,1.7791351906216313,0.9136071220671013,0.6271812057894262,1.1522703379242218
1137,3704.0,2.386556923805008,3.926600953622432,2.3131579373135445,1.285568366327818,1.3605188473738827,2.0107985969221915,1.8025822201299169,0.8664279194898434,0.45483702866540016,1.066983246839821
1138,698.0,1.3758801084134864,3.285804314332538,1.2245122410212934,1.1530692356946073,2.0054040679136023,2.97186431904585,1.7829444458232755,0.9061507066200043,0.39087065561672496,1.0973580660740732
1139,1076.0,2.4940562538003217,3.8571387541554683,2.301538252498275,1.2660309612275615,1.2999003223574868,1.9083925081363657,1.784621747469686,0.902842853689526,0.5992541887316055,1.1267581105315951
1140,1414.0,2.6516174732073132,4.098901115772166,2.5126524167284696,1.37920497445493,1.3355281363090397,1.9712396856051735,1.7947790303023223,0.8824784600130782,0.6141522806987567,1.1191289614289437
1141,3990.0,2.3520560868309754,3.623706827359806,2.188250634852456,1.1637512672205572,1.1222469058160283,1.6886034531748295,1.7926862820824723,0.8867219936560206,0.55293407709417,1.1103943389558142
1142,1665.0,2.1766984293562115,3.9576285140999894,2.3373467296099797,1.2320304094881307,1.1469817067183496,1.7399410152356198,1.7965534576526434,0.8788604404547566,0.5846188909799606,1.1082351762825462
1143,1670.0,2.1612291061185154,4.338145114001917,2.2870867284487786,1.3560869178695114,1.4612015958265792,2.040105195938278,1.7654733744804079,0.9397360076110548,0.7701430662519891,1.229713967595276
1144,911.0,1.1978084261458533,3.0407817298301776,0.8161881316630579,1.5593660496397526,3.8590762349060035,6.511345918993353,1.7837948957736645,0.9044754113914989,-0.4773989887390259,1.1157545798893997
1145,1472.0,1.17686350596974,3.192579669425366,0.6394341697209011,1.7674692102412202,4.552544565997631,7.740255436863624,1.7650071924780504,0.9406112961796428,0.2544683721463812,1.1382947978238371
1146,1064.0,1.6663963221556704,3.650575171009056,1.9039437649889843,1.0309663612821687,0.9235148901979893,1.4322684631350553,1.8034721437363417,0.8645740146263042,0.4740676193843277,1.0712903530204554
1147,1008.0,1.9972964728725593,3.696715819879221,2.0863589954378257,1.180693143810154,1.2171136496681096,1.7698276461435865,1.787619409116432,0.8968928855500073,0.5510371803272844,1.1122355312009466
1148,2499.0,1.6119071043187283,3.316557195391276,1.084238157194321,1.1289422082779628,3.3087390146661937,6.284527886362024,1.7732299139350414,0.9250165794870553,0.22838069926542262,1.1289680861958211
1149,535.0,2.254081376556782,3.425169065346897,2.1086124855768027,1.023858399399681,0.9139503545892222,1.393296693132422,1.7897141607171354,0.8927055634018178,0.4698182864027273,1.0871644652191501
1150,1755.0,1.5285945617471686,3.4574547956383213,1.181800176502189,1.1437185517067245,2.3770717263691834,3.926831368674306,1.7886602462998336,0.894815357102587,0.44431658889018866,1.113073089576668
1151,2292.0,2.784764209264168,3.9914189396225273,2.5250223298512906,1.3876551818295482,1.5725743051006504,2.38223139030177,1.8016619495082518,0.8683399217438568,0.5574001303786352,1.0878606402978719
1152,737.0,1.5903079295334874,3.0545741193814715,1.0760221236814538,1.1403370919704319,2.8882019591451615,4.976749255652096,1.7729752190479535,0.9255046583577312,-0.4737552271371512,1.0940778650878946
1153,3130.0,2.3222701730907804,3.760930436181313,2.164414292854924,1.161199799763542,1.081753726519692,1.649728244578195,1.7982166487010043,0.8754523883881536,0.4652672970234857,1.0781756607921915
1154,1053.0,2.0162268135691725,3.5066042541571583,1.7663191008062913,0.9489944844239997,0.958465146881838,1.4309949527792438,1.7973399138197728,0.8772509528010386,0.27368083897160084,1.0794343938828963
1155,1665.0,2.7115569609628367,4.287839786999405,2.591259213072182,1.5092834438243716,1.727957562409386,2.5462288932406607,1.7945760391948637,0.8828911821666776,0.6294182398705687,1.1245897345836833
1156,2615.0,1.1028439009669295,3.090776889310425,0.5029828409914597,1.4705037804091565,4.168405868022498,7.486445650610486,1.7819781713785314,0.9080494461924523,-0.2103334172318671,1.1271979511309094
1157,316.0,1.2903214970465657,3.253099656630242,1.4227444553324748,1.3569994904517089,2.3153812023134983,3.4450206887914736,1.7679438515037476,0.9350799633882102,0.4534383329253932,1.1275056846171183
